SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
42024,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.667,23,0.087,0.93,0.385,0.154,0.075,0.141,0.018,0.441,0.419,9.9,9.2,3.0,7.8,4.8
42024,1610612752,NYK,New York Knicks,Isolation,Offensive,0.933,18,0.098,1.026,0.477,0.148,0.102,0.133,0.02,0.49,0.513,10.9,11.2,4.0,8.4,4.4
42024,1610612754,IND,Indiana Pacers,Isolation,Offensive,0.0,23,0.067,0.817,0.352,0.172,0.107,0.142,0.018,0.402,0.392,7.3,6.0,1.9,5.4,3.5
42024,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.133,15,0.098,0.846,0.375,0.13,0.086,0.105,0.006,0.42,0.402,10.8,9.1,3.2,8.5,5.3
42024,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.4,11,0.134,0.877,0.344,0.136,0.039,0.117,0.026,0.403,0.378,14.0,12.3,4.1,11.9,7.8
42024,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.733,14,0.075,0.932,0.46,0.111,0.162,0.103,0.017,0.436,0.511,8.4,7.8,2.9,6.2,3.4
42024,1610612744,GSW,Golden State Warriors,Isolation,Offensive,0.533,12,0.083,0.907,0.384,0.131,0.075,0.131,0.009,0.43,0.43,8.9,8.1,2.8,7.2,4.4
42024,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,1.0,9,0.062,1.306,0.551,0.161,0.081,0.161,0.032,0.565,0.673,6.9,9.0,3.0,5.4,2.4
42024,1610612746,LAC,LA Clippers,Isolation,Offensive,0.067,7,0.122,0.82,0.338,0.124,0.067,0.124,0.022,0.371,0.378,12.7,10.4,3.6,10.6,7.0
42024,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.867,5,0.134,1.0,0.423,0.132,0.103,0.132,0.0,0.456,0.5,13.6,13.6,4.4,10.4,6.0
42024,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.467,7,0.098,0.878,0.417,0.122,0.095,0.095,0.027,0.432,0.442,10.6,9.3,3.6,8.6,5.0
42024,1610612753,ORL,Orlando Magic,Isolation,Offensive,0.2,5,0.105,0.855,0.404,0.073,0.073,0.073,0.0,0.418,0.426,11.0,9.4,3.8,9.4,5.6
42024,1610612748,MIA,Miami Heat,Isolation,Offensive,0.6,4,0.119,0.918,0.526,0.122,0.143,0.122,0.041,0.469,0.539,12.3,11.3,5.0,9.5,4.5
42024,1610612749,MIL,Milwaukee Bucks,Isolation,Offensive,0.8,5,0.064,0.971,0.467,0.143,0.057,0.114,0.057,0.486,0.483,7.0,6.8,2.8,6.0,3.2
42024,1610612765,DET,Detroit Pistons,Isolation,Offensive,0.333,6,0.048,0.875,0.429,0.063,0.063,0.063,0.0,0.438,0.446,5.3,4.7,2.0,4.7,2.7
42024,1610612763,MEM,Memphis Grizzlies,Isolation,Offensive,0.267,4,0.063,0.862,0.478,0.034,0.172,0.034,0.0,0.414,0.5,7.3,6.3,2.8,5.8,3.0
42024,1610612754,IND,Indiana Pacers,Transition,Offensive,0.867,23,0.173,1.23,0.601,0.175,0.126,0.156,0.028,0.575,0.676,18.9,23.3,8.3,13.7,5.5
42024,1610612760,OKC,Oklahoma City Thunder,Transition,Offensive,0.667,23,0.173,1.162,0.541,0.156,0.084,0.149,0.029,0.544,0.599,19.6,22.7,8.3,15.4,7.1
42024,1610612752,NYK,New York Knicks,Transition,Offensive,0.067,18,0.169,1.0,0.439,0.148,0.104,0.134,0.036,0.454,0.504,18.7,18.7,6.4,14.7,8.2
42024,1610612750,MIN,Minnesota Timberwolves,Transition,Offensive,0.6,15,0.159,1.161,0.562,0.142,0.138,0.134,0.05,0.525,0.632,17.4,20.2,7.5,13.4,5.9
