SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22024,1610612746,LAC,LA Clippers,Isolation,Offensive,0.862,82,0.12,0.972,0.388,0.159,0.106,0.155,0.025,0.428,0.454,13.1,12.8,3.9,10.0,6.1
22024,1610612742,DAL,Dallas Mavericks,Isolation,Offensive,0.793,82,0.1,0.952,0.424,0.126,0.098,0.119,0.023,0.437,0.477,11.1,10.5,3.8,8.9,5.1
22024,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.966,82,0.09,1.034,0.451,0.14,0.06,0.127,0.025,0.484,0.488,10.2,10.5,3.8,8.4,4.6
22024,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.828,82,0.1,0.956,0.413,0.116,0.075,0.106,0.022,0.433,0.466,10.9,10.5,3.8,9.1,5.3
22024,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.897,82,0.09,0.983,0.426,0.137,0.085,0.134,0.031,0.451,0.473,9.8,9.6,3.4,7.9,4.5
22024,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.483,82,0.094,0.899,0.418,0.116,0.094,0.108,0.027,0.426,0.455,10.3,9.3,3.5,8.5,4.9
22024,1610612749,MIL,Milwaukee Bucks,Isolation,Offensive,0.759,82,0.084,0.939,0.453,0.13,0.096,0.121,0.023,0.454,0.48,9.2,8.6,3.3,7.3,4.0
22024,1610612763,MEM,Memphis Grizzlies,Isolation,Offensive,0.621,82,0.076,0.914,0.441,0.137,0.121,0.127,0.037,0.439,0.47,9.0,8.2,3.1,7.0,3.9
22024,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.414,82,0.076,0.876,0.386,0.139,0.103,0.131,0.036,0.407,0.425,8.8,7.7,2.7,7.0,4.3
22024,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.345,82,0.078,0.873,0.394,0.122,0.146,0.113,0.015,0.399,0.455,8.7,7.6,2.5,6.5,3.9
